"names","values"
"itemid","213"
"event","It's been a long time since the last time I posted here. My life has changed A LOT. But no time for details now, maybe on another day."
"eventtime","2010-12-11 02:44:00"
"current_moodid","49"
"url","http://melai-natar.livejournal.com/54715.html"
"userid","9849"
"itemid","212"
"event","<lj-raw>      <a href=""http://apps.facebook.com/fluff/fluffbook.php?id=868395132&vote=1"" target=""_blank""><img src=""http://ffelectionwidget.s3.amazonaws.com/868395132/ffwidget.png"" border=""0"" alt=""(fluff)Friends - create, share and enjoy a world of fluffy fun!""/></a>    <img style=""visibility:hidden;width:0px;height:0px;"" border=0 width=0 height=0 src=""http://counters.gigya.com/wildfire/IMP/CXNID=2000002.0NXC/bHQ9MTIyNjEyNTg4OTE3MSZwdD*xMjI2MTI1OTIyNzUwJnA9NDAzMzExJmQ9Jm49bGl2ZWpvdXJuYWwmZz*xJnQ9Jm89NGE5NzI1Y2QyYjQ1NGMyNzg1YzM*MzA1ZTM2MWI2Yzg=.gif"" /></lj-raw>"
"eventtime","2008-11-08 01:32:00"
"url","http://melai-natar.livejournal.com/54345.html"
"userid","9849"
"itemid","211"
"event","I just finished reading the fourth Tales of the Otori book! I can't believe it! That was so incredible tragic!!

<lj-cut text=""Spoilers"">
It's impossible! When Taku died, I imagined that the ending would not be a happily ever afting... but I still can't believe that Kaede betrayed Takeo!! How could she!?!

And I was a Hiroshi x Shigeko fan! Why? Why?? Takeo promised her that she would be able to marry him! She should have!! WHY!?! (Well, actually I understand why, I'm not stupid... but it's so unfair anyway.)

And it's never revealed what happened to Ishida (though, let's be honest, it's all his fault)... and I would have loved to see Hiroshi actually at Terayama in the end... ;_;

I want a book 5 with Saga dying and Hiroshi getting married with Shigeko!! *SULKS*
</lj-cut>"
"eventtime","2008-06-09 05:40:00"
"current_moodid","129"
"url","http://melai-natar.livejournal.com/54109.html"
"userid","9849"
"itemid","210"
"event","MitKo's day's near... I didn't remember! -.-

And my head is ""out of server"" for fic-writing!

I'll try to make an amv... -.- Stupid me! What kind of fangirl forgets her otp day????

Shame on me!"
"eventtime","2008-05-02 17:10:00"
"current_moodid","4"
"url","http://melai-natar.livejournal.com/53788.html"
"userid","9849"
"itemid","209"
"event","RmluYWxpemFkbyBlbCAxNiBkZSBBYnJpbCBkZWwgMjAwOA0KVGlwbzogU2xhc2gNClTDrXR1bG86IFRpZW1wbyBlbiBTb2xpdGFyaW8NClBhcnRlOiAxLzENCkF1dG9yOiBNZXJjLWNoYW4NClBhcmVqYTogSnVuayB4IEZlcmdpZSAoT1RIKQ0KR8OpbmVybzogUm9tYW5jZQ0KQ2Vuc3VyYTogRw0KRGVyZWNob3MgZGUgQXV0b3I6IE9uZSBUcmVlIEhpbGwgeSBzdXMgcGVyc29uYWplcyBsZSBwZXJ0ZW5lY2VuIGEgTWFyayBTY2h3YW5uLi4uIGF1bnF1ZSBlbiBtaXMgc3Vlw7FvcyBzb24gdG9kb3MgbcOtb3MhIF5eDQoNCjxsai1jdXQgdGV4dD0iSG1tbeKApiAtc29ucmnDsyBKdW5rLSwgeW8gc8OpIGRlIG90cm9zIOKAmGRlcG9ydGVz4oCZIHF1ZSB0ZSBjYW5zYW4gbcOhcy4iPg0KPGRpdiBhbGlnbj0iY2VudGVyIj48Yj48Zm9udCBzaXplPSI0Ij5UaWVtcG8gZW4gU29saXRhcmlvPC9mb250Pg0KPGZvbnQgc2l6ZT0iMyI+cG9yIE1lcmMtY2hhbjwvZm9udD48L2I+PC9kaXY+DQoNCkZlcmdpZSBzYWN1ZGnDsyB1bmEgbWFubyBwYXJhIGRlc3BlZGlyc2UgZGUgSmFtaWUgeSBzb25yacOzLiBFc2UgbmnDsW8gbGUgZW5jYW50YWJhLiBFcmEgY29tbyB1biBwZXF1ZcOxbyDDoW5nZWwgcXVlIGxsZWdhYmEgYSByZXBhcnRpciBhbGVncsOtYSBjYWRhIHZleiBxdWUgdmlzaXRhYmEgZWwgZGVwYXJ0YW1lbnRvLg0KDQpFc3BlcsOzIGEgcXVlIFNraWxscyBjZXJyYXJhIGxhIHB1ZXJ0YSB0cmFzIHNhbGlyIGNvbiBlbCBuacOxbyB5IHNlIHZvbHZpw7MuIEVsIGRlcGFydGFtZW50byB2b2x2w61hIGEgcXVlZGFyIHZhY8OtbywgcGVybyDDqWwgZXN0YWJhIGFjb3N0dW1icmFkbyBhIGVzby4gRGUgaGVjaG8sIGVyYSBhbGdvIHF1ZSBsZSBhZ3JhZGFiYSBiYXN0YW50ZS4gU2Ugc2VudMOzIGVuIGVsIHNvZsOhIHkgbWlyw7MgaGFjaWEgZWwgbGFkbyBhbCBob21icmUgcXVlIHJlcG9zYWJhIHNvYnJlIGVsIHNpbGzDs24uDQoNCuKAnMK/Q2Fuc2Fkbz/igJ0NCg0K4oCcQWdvdGFkb+KAnSByZXNwb25kacOzIEp1bmsgY29uIHVuYSBzb25yaXNhLiDigJxQZXJvIHZhbGUgbGEgcGVuYSBlbCBjYW5zYW5jaW8gcG9yIHZlciBhIGVzZSBuacOxbyBzb25yZcOtci7igJ0NCg0KRmVyZ2llIGFzaW50acOzIGNvbiBsYSBjYWJlemEuIEphbWllIGVzdGFiYSBwYXNhbmRvIHBvciBtb21lbnRvcyBkdXJvcyBkZXNkZSBxdWUgc3UgbWFkcmUgbGUgaGFiw61hIHBlZGlkbyBlbCBkaXZvcmNpbyBhIHN1IHBhZHJlLiBFbGxvcyBubyBzZSBlbnRyb21ldMOtYW4gZW4gZXNvcyBhc3VudG9zLCBhIGxvIG3DoXMgc2Fiw61hbiBsbyBxdWUgU2tpbGxzIGxlcyBjb21lbnRhYmEuIFNpbiBlbWJhcmdvLCBsZXMgcGFyZWPDrWEgaW1wb3J0YW50ZSBheXVkYXIgYWwgcGVxdWXDsW8gYSB0ZW5lciBtb21lbnRvcyBmZWxpY2VzLg0KDQpKdW5rIHNlIGxldmFudMOzIGRlbCBzaWxsw7NuIHkgc2UgZnVlIGEgc2VudGFyIGFsIHNvZsOhLCBqdW50byBhIEZlcmdpZS4gU2UgYWNvbW9kw7MgZW4gbWVkaW8gZGVsIG11ZWJsZSB5IGVzdGlyw7MgbG9zIGJyYXpvcyBjdWFuIGxhcmdvcyBlcmFuLCBjdWJyaWVuZG8gdG9kbyBlbCByZXNwYWxkbyBjb24gZWxsb3MuIEZlcmdpZSBubyBzZSBtb3Zpw7MuDQoNCuKAnFkgdMO64oCmIMK/ZXN0w6FzIG11eSBjYW5zYWRvP+KAnQ0KDQpGZXJnaWUgc2FjdWRpw7MgbGV2ZW1lbnRlIGxhIGNhYmV6YS4NCg0K4oCcTm8gdGFudG8gY29tbyBtZSBjYW5zYSB1biBwYXJ0aWRvIGRlIGJhc2tldGJhbGwu4oCdIHJlc3BvbmRpw7MuDQoNCuKAnEhtbW3igKbigJ0gc29ucmnDsyBKdW5rLCDigJx5byBzw6kgZGUgb3Ryb3Mg4oCYZGVwb3J0ZXPigJkgcXVlIHRlIGNhbnNhbiBtw6FzLuKAnQ0KDQpGZXJnaWUgc2ludGnDsyBxdWUgZWwgcm9zdHJvIHNlIGxlIGFjYWxvcmFiYSBhbnRlIGVzZSBjb21lbnRhcmlvLCBwZXJvIG5vIHJlc3BvbmRpw7MuIEEgSnVuayBsZSBndXN0YWJhIG1vbGVzdGFybG8gY29uIGVzYXMgY29zYXMsIHlhIGVzdGFiYSBhY29zdHVtYnJhZG8uIENvbW8gY2FtYmlhbmRvIGVsIHRlbWEgZGUgbGEgbmFkYSwgSnVuayBhZ3JlZ8OzOg0KDQrigJxFcyBidWVubyB0ZW5lciBhbGdvIGRlIHRpZW1wbyBwYXJhIG5vc290cm9zLuKAnQ0KDQrigJxKdW5r4oCmIGxvIHF1ZSBtw6FzIHRlbmVtb3MgZXMgdGllbXBvIHBhcmEgbm9zb3Ryb3PigKYgbm8gZXMgY29tbyBzaSBlbCByZXN0byBkZSBsb3MgY2hpY29zIG5vcyB0b21lbiBtdWNobyBlbiBjdWVudGHigKbigJ0NCg0K4oCcwr9ZIGVzbyB0ZSBtb2xlc3RhP+KAnQ0KDQpGZXJnaWUgZ3VhcmTDsyBzaWxlbmNpby4gRXN0YWJhIGNvbnNpZGVyYW5kbyBsYSBwcmVndW50YS4gwr9MZSBtb2xlc3RhYmEgZXNvIHJlYWxtZW50ZT8gTGEgdmVyZGFkIGVzIHF1ZSBsZSBhZ3JhZGFiYW4gc3VzIHRpZW1wb3MgZW4gc29saXRhcmlvLCBlc3BlY2lhbG1lbnRlIHNpIEp1bmsgZXN0YWJhIGFow60gcGFyYSBoYWNlcmxvcyDigJhubyB0YW4gc29saXRhcmlvc+KAmS4gUGVybyBhIHZlY2VzIGxlIGd1c3RhcsOtYSBxdWUgc3VzIGFtaWdvcyBsb3MgY29uc2lkZXJhcmFuIHVuIHBvY28gbcOhcy4NCg0K4oCcU3Vwb25nbyBxdWUgZXN0w6EgYmllbuKAnSwgZGlqbyBmaW5hbG1lbnRlLiDigJxFbGxvcyB0aWVuZW4gc3VzIHZpZGFzIHkgbm9zb3Ryb3MgbGFzIG51ZXN0cmFzLuKAnQ0KDQpFbCBicmF6byBkZSBKdW5rIHF1ZSBkZXNjYW5zYWJhIHRyYXMgw6lsIHNlIG1vdmnDsyB5IHN1IG1hbm8gc2UgYXBvecOzIGVuIHVubyBkZSBsb3MgaG9tYnJvcyBkZSBGZXJnaWUuIMOJc3RlIGhpem8gdW4gcGVxdWXDsW8gbW92aW1pZW50byBjb24gZWwgaG9tYnJvIHBhcmEgcXVpdGFybGEsIHBlcm8gSnVuayBtYW50dXZvIHN1IG1hbm8gZW4gZXNlIGx1Z2FyLg0KDQrigJxKdW5rLCBwb3IgZmF2b3LigKYgTW91dGggcG9kcsOtYSBsbGVnYXIgZW4gY3VhbHF1aWVyIG1vbWVudG/igKbigJ0NCg0K4oCcTm/igKYgZGViZSBlc3RhciBvY3VwYWRvIGNvbiBCcm9va2UsIG8gc3Ugbm92aWEsIG8gcXVpZW4gc2VhIHN1IGludGVyw6lzIHJvbcOhbnRpY28gZGVsIG1vbWVudG/igKbigJ0NCg0K4oCcTm8gaGFibGVzIGFzw60gZGUgw6ls4oCm4oCdDQoNCkp1bmsgcmnDsy4NCg0K4oCcTm8gbG8gZGVmaWVuZGFzIHRhbnRv4oCmIHBvZHLDrWEgcG9uZXJtZSBjZWxvc2/igKbigJ0NCg0KRmVyZ2llIHNvbnJpw7MgeSBzZSBtb3Zpw7MgcGFyYSBhcG95YXIgc3UgY2FiZXphIGVuIGVsIGhvbWJybyBkZWwgb3RybyBob21icmUuIExhIG1hbm8gZGUgSnVuayBxdWUgcmVwb3NhYmEgZW4gc3UgaG9tYnJvIGJhasOzIHBvciBzdSBicmF6byBlbiBmb3JtYSBkZSBjYXJpw7FvLg0KDQrigJxObyBzZWFzIHRvbnRv4oCmIHNhYmVzIHF1ZSBlcmVzIGVsIMO6bmljbyBwYXJhIG3DreKApuKAnQ0KDQrigJxZIHTDuiBlcmVzIGVsIMO6bmljbyBwYXJhIG3DrSwgRmVyZ2ll4oCmIHRlIGFtby7igJ0NCg0KDQo8ZGl2IGFsaWduPSJjZW50ZXIiPjxiPjxmb250IHNpemU9IjMiPkZJTjwvZm9udD48L2I+PC9kaXY+"
"eventtime","2008-04-16 03:29:00"
"current_moodid","108"
"url","http://melai-natar.livejournal.com/53594.html"
"userid","9849"
"itemid","208"
"event","UG9yIGZhdm9yLCBsZWFuIGVzdGEgcGV0aWNpw7NuIHkgZsOtcm1lbmxhOiBodHRwOi8vd3d3LnBldGl0aW9ub25saW5lLmNvbS8xMzAzMTk1My9wZXRpdGlvbi5odG1sDQoNCkdyYWNpYXMh"
"eventtime","2008-02-28 00:00:00"
"current_moodid","3"
"url","http://melai-natar.livejournal.com/53381.html"
"userid","9849"
"itemid","207"
"event","Could I be any happier?

^______________________^


<center><a href=""http://s263.photobucket.com/albums/ii140/melainatar/?action=view&current=libro.jpg"" target=""_blank""><img src=""http://i263.photobucket.com/albums/ii140/melainatar/libro.jpg"" border=""0"" alt=""Merc,Harry Potter""></a></center>"
"eventtime","2008-02-21 20:27:00"
"current_moodid","15"
"url","http://melai-natar.livejournal.com/53081.html"
"userid","9849"
"itemid","206"
"event","Last day of this dreadful week... I hope it ends soon... -.-"
"eventtime","2008-01-20 10:41:00"
"current_moodid","9"
"url","http://melai-natar.livejournal.com/52805.html"
"userid","9849"
"itemid","205"
"event","<br /><div align=""center""><h1>HAPPY NEW YEAR, MINNA-SAN!!</h1></div>"
"eventtime","2007-12-31 15:20:00"
"current_moodid","125"
"url","http://melai-natar.livejournal.com/52577.html"
"userid","9849"
"itemid","204"
"event","<center><h2>Tokyo Revelations: The Magician's Message</h2></center>


Warning1: Haven't read the Tokyo part of the manga yet? Beware of HUGE spoilers.
Warning2: For those of you who watched the anime... this takes after the world of Lecourt (the one with the huge library). Forget about the made-up-for-the-anime worlds.


<lj-cut text=""I&#39;m ready! Show me the OAD! ^^"">
<center>
Part 1/3:
<lj-embed id=""6"" />


Part 2/3:
<lj-embed id=""7"" />


Part 3/3:
<lj-embed id=""8"" />
</center>
</lj-cut>"
"eventtime","2007-11-20 12:17:00"
"current_moodid","59"
"url","http://melai-natar.livejournal.com/52295.html"
"userid","9849"
"itemid","203"
"event","<h2>HAPPY BIRTHDAY, KIMI-CHAN!!</h2>

<b>Hope you'll have a wonderful day and a great year! ^^</b>"
"eventtime","2007-11-06 02:16:00"
"current_moodid","72"
"url","http://melai-natar.livejournal.com/52060.html"
"userid","9849"
"itemid","202"
"event","<h1>HAPPY HALLOWEEN, MINNA-SAN! ^^</h1>"
"eventtime","2007-10-31 01:20:00"
"current_moodid","46"
"url","http://melai-natar.livejournal.com/51840.html"
"userid","9849"
"itemid","201"
"event","I didn't know that X-Japan is oficially coming back... -.- I am so uninformed... ^^;;;"
"eventtime","2007-10-24 12:12:00"
"current_moodid","56"
"url","http://melai-natar.livejournal.com/51474.html"
"userid","9849"
"itemid","200"
"event","<h2>NEW SD YAOI DISCUSSION GROUP ON <a href=""http://www.facebook.com/"" target=""_blank"">FACEBOOK</a>!</h2>

Everyone's invited to join! ^^ We will be expecting you <a href=""http://www.facebook.com/group.php?gid=13320145211"" target=""_blank"">here</a>!

Thanks! ^^


<center><a href=""http://www.facebook.com/group.php?gid=13320145211"" target=""_blank""><img src=""http://profile.ak.facebook.com/object2/101/0/n13320145211_5241.jpg""></a></center>"
"eventtime","2007-10-21 16:18:00"
"current_moodid","125"
"url","http://melai-natar.livejournal.com/51226.html"
"userid","9849"
"itemid","197"
